Tweet,Sentiment,Polarity,Subjectivity
5 modi per fare leva sulla riprova sociale https://t.co/DTXT2g24DT via @dmlab,positive,0.0,0.0
"RT @ZeeNewsHindi: पीएम मोदी की फैन लेडी डॉक्टर ने 'स्वच्छ भारत' के लिए दान किए 45 लाख रुपये
@narendramodi @PMOIndia 
https://t.co/9LdpmETOKn",positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @giniromet: I honestly feel bad for whoever has to face Modi in 2019. What are they going to say?

“Well, Modi may have lowered your tax…",negative,-0.04999999999999993,0.7833333333333333
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @rajneesh350: सभापति जी..रेणुका जी को आप कुछ न कहिये..
रामायण सीरियल के बाद ऐसी हँसी सुनने का
आज सौभाग्य मिला है!  ~#Modi
↕↕↕
जब संसद…",positive,0.0,0.0
RT @SahilDabass: @Nishanttanu2 @ravishndtv @mlkhattar @aajtak ho kya raha hai ye haryana mai modi ji kuch bolo,positive,0.0,0.0
PM to receive French President Emmanuel Macron in Varanasi tomorrow https://t.co/bjqzKbZkOr @narendramodi https://t.co/uWOe2XcoaR,positive,0.0,0.0
"RT @Cpcforbankers1: Modi ji namste hum hain bank mein piste laagu karin #CPCforbankers 
@WeBankerss",positive,0.0,0.0
"RT @twiish_: Gujju guy : pappa mai is baar modi ji ko vote nahin dunga

Father : https://t.co/ujWc01JZge",positive,0.0,0.0
"RT @CNBCTV18Live: PM Modi says India has a big renewable energy target of 175 GW, with 100 GW from solar alone https://t.co/uLMDA8C9mH",positive,0.0,0.1
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @RealHistoryPic: PM Sharing a Joke with French President, ""Aurat se Uski Umar aur Modi se Rafale ki Keemat Kabhi nahi Puchni chahiye"". (…",positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @jai_inc: Uttar Pradesh: ब्याज नहीं मिला तो साहूकार ने दलित महिला को जलाया जिंदा, हालत नाजुक - NDTVIndia 
Where is #Modi ji and #BJP on…",positive,0.0,0.0
RT @annesaurat: #Macron a offert à #Modi un exemplaire de la première traduction en français de la bhagavad gita (un des écrits fondamentau…,positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @neo_pac: Is this Smriti Irani? Anandi Ben? 
Does Modi know there's a bluddy protocol. You do NOT lace fingers with the first lady of Fr…",positive,0.25,0.3333333333333333
"RT @saandiippnayak: All devout Indians are praying that RaGa continue as lifetime UNELECTED, but anointed President of the Congress Party.…",positive,0.0,0.0
RT @vikrameffects: #AKinChhattisgarh AKs popularity is quite obvious now because people are fed up of scams done by chotta modi #PNBScam #R…,positive,0.0,0.5
RT @Joydas: Shocking why Farmers Protesting and commiting Suicide. Don't they know Modi Govt launched an App and Put an Ad in Economic Time…,negative,-0.4,0.6
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @manish_sharma84: The simple plan of the Modi Government is simple, to make farmers suffer so much that they give up their land and then…",positive,0.06666666666666667,0.3047619047619048
RT @KilaFateh: Former (RBI) Governor Raghuram Rajan has rubbished a fake quote attributed to him that claimed he warned Congress President…,negative,-0.25,0.5
"RT @ShatruganSinha_: The Rafale Scam keeps getting murkier. Here are 5 questions that PM Modi needs to answer. Pls Rt And Share.. 

Video L…",positive,0.0,0.0
@bhuvikal Dats y d whole of Undia is voting 4 Modi @d BJP. He is spreading hate. Dis guy is sure 2 go2 jail. His ku… https://t.co/zwIbJ3Q3Yc,negative,-0.050000000000000024,0.5472222222222223
RT @INCIndia: PM Modi's Rafale deal is a story of overpricing &amp; violations of norms. Will PM Modi explain why this deal was struck by break…,positive,0.0,0.0
"@iamfaisal1_ @salmanmasood Any proof? India ke, Afg ke ya Pak ke? Yehan tu Modi ke yaar hain...",positive,0.0,0.0
@narendramodi @EmmanuelMacron Modi ji Jindabad,positive,0.0,0.0
"RT @DasAnkitYadav: #JungleRaj_In_Haryana 
Only Haryana Govt can do this that a police man in Haryana bring under sedition charges even when…",positive,0.0,1.0
"RT @IYC: A promise of employment to the youth, the very foundation of their agenda in 2014, has been broken again by the Modi Government. I…",negative,-0.1,0.35
"@PMOIndia 
Sea bada na koi 2029 key bade ve Modi Sir Hogea PMO Har Har Maha dev Buss Modi sir key saith raho Sara j… https://t.co/rl1E5apafR",positive,0.0,1.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @malviyamit: After Amit Shah and Ajit Doval, is ‘The Wire’ planning to target Arun Jaitley and his daughter with a shabby hitjob? https:…",positive,0.0,0.0
Reform ➝ Perform ➝ Transform : Latest development tracker of Modi government’s schemes. #TransformingIndia… https://t.co/NwdlRPF3vF,positive,0.5,0.9
RT @TrolCineMania: Kedi MODI https://t.co/yuolI6dptC,positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @EktaChaurasia3: Another example of #JungleRaj_In_Haryana comes out!
This time it's not a common man but a Police officer who has been c…",positive,0.15,0.5
"Nehru respected and treated Sardar Vallahbhai Patel more graciously , than How Mr. Modi treated Advani ji
in full P… https://t.co/aGWBdprYnK",positive,0.425,0.525
"RT @omparkashjatt: @SatlokChannel #JungleRaj_In_Haryana 
Only Haryana Govt can do this that a police man in Haryana bring under sedition ch…",positive,0.0,1.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @mayasarc: While the anti-Modi ecosystem is actively engaged in peddling negative stories, the RW is mostly giving statistics which does…",positive,0.022222222222222216,0.5
RT @BikramPandit16: #sscki13v Kab tak aakhir kab tak bachhe baithe rehenge aur ssc chup chaap dekhta rahegaa. Govt ko chahiye is mudde ko k…,positive,0.0,0.0
"RT @DasAnkitYadav: #JungleRaj_In_Haryana 
Only Haryana Govt can do this that a police man in Haryana bring under sedition charges even when…",positive,0.0,1.0
"RT @Kirtanmahto: Common people - Nirav Modi, Lalit Modi, Vijay Malya ran away to foreign, you didn't take any action.
BJP- we can't do anyt…",negative,-0.10833333333333332,0.24166666666666667
RT @pankajmishra23: Dear @PMOIndia please note. This @vivekagnihotri is indirectly (rather openly) blaming Modi ji and Amit Shah for Gujara…,positive,0.0,0.5
"RT @IYC: A promise of employment to the youth, the very foundation of their agenda in 2014, has been broken again by the Modi Government. I…",negative,-0.1,0.35
@aajtak U just  gave an Idea to modi ji😿😿😿😿,positive,0.0,0.0
"RT @ak_p20: 5 type of State found in India...

- Solid State
- Liquid State
- Gaseous State
- Modi State
- Non-Modi State",positive,0.0,0.1
"RT @EktaChaurasia3: Another example of #JungleRaj_In_Haryana comes out!
This time it's not a common man but a Police officer who has been c…",positive,0.15,0.5
RT @CandiceMalcolm: Modi knows what’s up 😂 https://t.co/eTYnR0NZn4,positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @bsindia: Modi, Macron ink 14 pacts to boost India-France ties; cos sign $16-bn deals https://t.co/1DzBnkBaKD https://t.co/rSzmWTvPb2",positive,0.0,0.0
"RT @oldhandhyd: Tanikella Bharani, Telugu actor and literary figure praising Modi for restoring confidence of Hindus to live proudly,during…",positive,0.11818181818181818,0.3
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
@narendramodi @prateektv Ye dekh lijiye  and modi tak awaj le jaye ga pucha dijye https://t.co/jLiceRrYrj,positive,0.0,0.0
"RT @omparkashjatt: @SatlokChannel #JungleRaj_In_Haryana 
Only Haryana Govt can do this that a police man in Haryana bring under sedition ch…",positive,0.0,1.0
"@RoflRavish New Company recently registered in London by:

Lalit Modi, Vijay Mallya  Nirav Modi, Mehul Choksi

*Nam… https://t.co/mTDRdl4dpf",positive,0.06818181818181818,0.3522727272727273
"RT @Trollmodii: Well uneducated people seems to know more about modi's plan of looting india as compare to educated people.
#KisanLongMarch…",positive,0.5,0.5
"RT @SumanCh46505833: #JungleRaj_In_Haryana
Khatr or modi ki hitlr niti ne desh ko brbad kr di or brvala kand krvakr pure haryana ko prbad k…",positive,0.21428571428571427,0.5
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @ShekharGupta: The Left is dying, its icons are being JCB-ed, but its economic ideology rules, unchallenged. Narendra Modi is its newest…",positive,0.1,0.1
RT @hiddengut: #KisanLongMarch BJP government has done nothing for farmers. All false promises. Farmers are the ones who are mostly affecte…,positive,0.04999999999999996,0.55
"@hemendrab @mohit_reads12 @ANI Like Lalit Modi, Nirav Modi , Mehul Bhai ??? #KisanLongMarch",positive,0.0,0.0
"RT @CancilleriaVE: En Cumbre Fundacional de la Alianza Solar Internacional Precisamente, el primer ministro Narendra Modi @narendramodi des…",positive,0.0,0.0
"RT @satsahib17: #JungleRaj_In_Haryana
आज हमारे देश का दुर्भाग्य है कि जो देश के रक्षक ही भक्षक सरकार बन गई है जिस संत से नाम उपदेश लेकर भक्…",positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
RT @SahilDabass: @Nishanttanu2 @ravishndtv @mlkhattar @aajtak ho kya raha hai ye haryana mai modi ji kuch bolo,positive,0.0,0.0
"RT @aasta_gahile: #JungleRaj_In_Haryana
Iss prakar sant rampalji maharaj jike sath unke 1000 anuyayi oko zoote mukadme me fasaya gaya
@ pm…",positive,0.0,0.0
"RT @EktaChaurasia3: Another example of #JungleRaj_In_Haryana comes out!
This time it's not a common man but a Police officer who has been c…",positive,0.15,0.5
"RT @t_d_h_nair: Pls join me to dedicate this video to RSS and BJP for their greatest and unending effort to create a “Khand Bharat”.
For hi…",positive,1.0,1.0
"RT @geetv79: Even Vajpayee Slams Modi on
""Nothing Achieved in 70 Yrs"" 👇

#ThanksToNehru
#PiratesOfAchheDin

https://t.co/zNgXydKGD3",positive,0.0,0.0
RT @NAVINKU54303815: @PIB_India @narendramodi Chup faltu ka videsh ke minister se milke kuch nahi hoga modi g pahle sscscam protest wale se…,positive,0.0,0.0
RT @KilaFateh: Former (RBI) Governor Raghuram Rajan has rubbished a fake quote attributed to him that claimed he warned Congress President…,negative,-0.25,0.5
"RT @IYC: A promise of employment to the youth, the very foundation of their agenda in 2014, has been broken again by the Modi Government. I…",negative,-0.1,0.35
"RT @pranju_maijee: #JungleRaj_In_Haryana
Modi sarkar has forget fundamental rights of the human being..
They have no right to remove vijend…",negative,-0.07142857142857142,0.31785714285714284
RT @arjunmodhwadia: Defence Minister tells the Parliament that prices of Rafale Jets can't be made public because of a secrecy pact with Fr…,positive,0.0,0.06666666666666667
"RT @aasta_gahile: #JungleRaj_In_Haryana
Imandari se desh ki seva karna bhi koi gunah hei kya  jo havaldar bijedra jike sath huva
@ pm modi",positive,0.0,0.0
"RT @Rakesh97S: Since May 2014, PM Narendra Modi's government came to power, government is making an atmosphere that to criticize of the gov…",positive,0.0,0.0
RT @tavleen_singh: Hemanta Biswa Sarma at the India Today conclave said it was wrong of Sonia Gandhi to have said that she will not allow N…,negative,-0.5,0.9
"जो Narendra Modi जी से रोजगार और 15 लाख का रोना रो रहे हैं यकीन मानिए यही वह लोग है जिन्होंने अपना वोट
BJP को... https://t.co/zGNaz0l0G0",positive,0.0,0.0
"RT @Rakesh97S: Since May 2014, PM Narendra Modi's government came to power, government is making an atmosphere that to criticize of the gov…",positive,0.0,0.0
"RT @mkvenu1: Mehul Choksi,Nirav Modi etc must be quietly smiling somewhere! https://t.co/zVaE6pEnlG",positive,0.0,0.3333333333333333
"RT @giniromet: Modi looks more energetic than ever.

Imagine being attacked from all sides every single day and being able to brush it off…",positive,0.35714285714285715,0.45982142857142855
"RT @omparkashjatt: @SatlokChannel #JungleRaj_In_Haryana 
Only Haryana Govt can do this that a police man in Haryana bring under sedition ch…",positive,0.0,1.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
RT @vikatan: `பிரதமர் மோடி பரிந்துரைத்தும் வங்கியில் எனக்குக் கடன் கிட்டவில்லை!’ - கான்பூர் தச்சுத் தொழிலாளியின் சோகம் #Modi https://t.co/q…,positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @pranju_maijee: #JungleRaj_In_Haryana
Modi sarkar has forget fundamental rights of the human being..
They have no right to remove vijend…",negative,-0.07142857142857142,0.31785714285714284
"RT @EktaChaurasia3: Another example of #JungleRaj_In_Haryana comes out!
This time it's not a common man but a Police officer who has been c…",positive,0.15,0.5
"RT @IndiaToday: .@himantabiswa takes a sharp dig at #SoniaGandhi says who's she to disallow PM Modi to come in power at 2019
Watch India To…",negative,-0.125,0.75
"RT @vogue_italia: Così #ClaudiaSchiffer, alcuni anni fa, sulla passerella di #Chanel. Vi piace? Voi come li acconciate i vostri #capelli lu…",positive,0.0,0.0
"RT @CancilleriaVE: En Cumbre Fundacional de la Alianza Solar Internacional Precisamente, el primer ministro Narendra Modi @narendramodi des…",positive,0.0,0.0
RT @OneTipOneHand_: @_Namrataa hmm...modi se dushmani achhi hai...kam se kam dukan chalti rehti hai....jaitley se career hi khatm ho jata h…,positive,0.0,0.0
"RT @DasAnkitYadav: #JungleRaj_In_Haryana 
Only Haryana Govt can do this that a police man in Haryana bring under sedition charges even when…",positive,0.0,1.0
@saliltripathi The only reason why @TVMohandasPai comes out with these bizarre views is because of his blind hatred… https://t.co/yPWH6sXIDh,negative,-0.033333333333333326,0.7555555555555555
"#JungleRaj_In_Haryana  @ml khattar
@n. Modi https://t.co/5qRxc4nN6x",positive,0.0,0.0
"RT @EktaChaurasia3: Another example of #JungleRaj_In_Haryana comes out!
This time it's not a common man but a Police officer who has been c…",positive,0.15,0.5
RT @KamalSharmaBJP5: Reform ➝ Perform ➝ Transform : Latest development tracker of Modi government’s schemes. #TransformingIndia  https://t.…,positive,0.5,0.9
